"iso_code","YearMonth","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","testing_policy","contact_tracing","containment_index","vaccination_policy","debt_relief","close_public_transport","school_closures","stay_home_requirements","transit_stations","workplace_closures","workplaces","facial_coverings","income_support","restrictions_internal_movements","public_information_campaigns","cancel_public_events","restriction_gatherings","CCI","CCIChange","CCINorm"
"AUS",202002,14.8620689655172,0.551724137931034,0.379379310344828,0,0,0,0.582689655172414,0.0216206896551724,0.0148965517241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44,1,2,22.02,0,0,0,0,0,7.41423076923077,0,10.0912307692308,0,0,0,2,0,0,99.02038,0,0
"AUS",202003,1150.93548387097,146.258064516129,114.036903225806,6.12903225806452,0.580645161290323,0.456354838709677,45.1349032258065,5.73561290322581,4.47206451612903,0.240451612903226,0.0226774193548387,0.0178709677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2003225806452,1,2,34.6948387096774,0,0.451612903225806,0,0.774193548387097,0.258064516129032,-11.9124838709677,0.580645161290323,0.474709677419355,0,0.645161290322581,0.838709677419355,2,0.967741935483871,1.38709677419355,98.61734,-0.403040000000004,-0.403040000000004
"AUS",202004,6273.53333333333,73.5666666666667,105.747633333333,60.5666666666667,2.5,2.37613333333333,246.022133333333,2.88503333333333,4.14703333333333,2.3751,0.098,0.0931666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4806666666667,1.26666666666667,2,59.644,0,2,0,2.56666666666667,1.96666666666667,-60.3810333333333,2,-39.7856666666667,0,1,2,2,2,4,98.20112,-0.416219999999996,-0.81926
"AUS",202005,7020.16129032258,14.0645161290323,14.2396129032258,99.0645161290323,0.32258064516129,0.562354838709677,275.301838709677,0.551548387096774,0.558387096774194,3.88487096774194,0.0125806451612903,0.0220967741935484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.3522580645161,3,2,60.1190322580645,0,2,0.451612903225806,2,1.35483870967742,-50.6635806451613,1.45161290322581,-26.7234838709677,0,1,2,2,2,4,98.32049,0.119370000000004,-0.699889999999996
"AUS",202006,7420.36666666667,23.9333333333333,18.0951666666667,102.5,0.0333333333333333,0.0381333333333333,290.996133333333,0.9386,0.709566666666667,4.0195,0.0013,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0143333333333,3,2,49.6563333333333,0,2,1,1.53333333333333,0,-40.7094666666667,1,-17.0476,0,1,2,2,1.36666666666667,3,98.49483,0.174339999999987,-0.52555000000001
"AUS",202007,11668.3870967742,301.935483870968,261.502258064516,128.903225806452,3.12903225806452,2.38254838709677,457.585935483871,11.8407419354839,10.255064516129,5.05493548387097,0.122645161290323,0.0933870967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8193548387097,3,2,64.2467741935484,0,2,1,2.38709677419355,2.25806451612903,-41.1889677419355,2,-18.8801935483871,0.806451612903226,1,2,2,2,3.7741935483871,98.42838,-0.066449999999989,-0.591999999999999
"AUS",202008,22938.4193548387,275.451612903226,313.603612903226,419.548387096774,14.7096774193548,13.7281612903226,899.550032258065,10.802,12.2981935483871,16.453,0.576935483870968,0.538322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.101935483871,3,2,74.3858064516129,0,2,1,2.93548387096774,2,-45.2166451612903,2.96774193548387,-19.1566451612903,4,1,2,2,2,4,98.5028,0.0744199999999893,-0.517580000000009
"AUS",202009,26696.6333333333,42.5666666666667,50.3476666666667,815.833333333333,7.7,9.1333,1046.9316,1.66916666666667,1.9744,31.9935666666667,0.301966666666667,0.358133333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.72,3,2,72.144,0,2,1,2.9,2,-42.7858333333333,2.9,-17.6143666666667,4,1,2,2,2,4,99.17672,0.67392000000001,0.15634
"AUS",202010,27366.5806451613,16.0967741935484,16.6450322580645,901.58064516129,0.612903225806452,0.935483870967742,1073.20425806452,0.631258064516129,0.652709677419355,35.3562258064516,0.0239677419354839,0.0366451612903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.6696774193548,3,2,66.0167741935484,0,2,1,1.87096774193548,1.87096774193548,-40.9676129032258,1.87096774193548,-16.5576774193548,4,1,2,2,1.87096774193548,3.87096774193548,100.0222,0.845479999999995,1.00182
"AUS",202011,27750.4666666667,10.5666666666667,10.6761666666667,907.066666666667,0.0333333333333333,0.0286,1088.2586,0.4144,0.418766666666667,35.5716,0.0013,0.00113333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.7606666666667,2.13333333333333,2,53.6896666666667,0,2,1,0.7,1,-37.1000333333333,1,-10.0189666666667,3.4,1,2,2,1,3.56666666666667,100.607,0.584800000000001,1.58662
