"iso_code","YearMonth","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","testing_policy","contact_tracing","containment_index","vaccination_policy","debt_relief","close_public_transport","school_closures","stay_home_requirements","transit_stations","workplace_closures","workplaces","facial_coverings","income_support","restrictions_internal_movements","public_information_campaigns","cancel_public_events","restriction_gatherings","CLI"
"FIN",202008,7753.58064516129,21.0967741935484,20.2949032258065,333,0.225806451612903,0.198322580645161,1399.38196774194,3.80761290322581,3.66296774193548,60.1006451612903,0.0407096774193548,0.0360322580645161,0.225806451612903,0.0406451612903226,3.35483870967742,0.60541935483871,0,0,0,0,0,0,0,0,0,0,0,0,33.5758064516129,2,1,35.7677419354839,0,1,0,1,0,-26.0553870967742,1,-27.8525806451613,0.612903225806452,2,0,2,1,0.419354838709677,99.38786
"FIN",202009,8847.7,63.5333333333333,54.7286,339.166666666667,0.266666666666667,0.285733333333333,1596.85083333333,11.4666666666667,9.87756666666667,61.2132333333333,0.0481333333333333,0.0517,1.03333333333333,0.1864,6.53333333333333,1.1792,0,0,0,0,0,0,0,0,0,0,0,0,32.41,2,1,35.71,0,1,0,1,0,-26.2666333333333,1,-16.5953333333333,1,2,0,2,1,0,99.51378
"FIN",202010,13023.8709677419,197.451612903226,185.248903225806,349.967741935484,0.451612903225806,0.364064516129032,2350.57470967742,35.6365161290323,33.434064516129,63.1629677419355,0.0814516129032258,0.0658387096774194,3.25806451612903,0.588,21.3225806451613,3.84832258064516,0,0,0,0,0,0,0,0,0,0,0,0,35.9006451612903,2,1,37.9577419354839,0,1,0,1,0,-33.1198709677419,1,-17.2580967741935,1,2,0,2,1,2.03225806451613,99.70724
"FIN",202011,19887.6,293.3,275.023833333333,372.8,1.36666666666667,1.2046,3589.3544,52.9353666666667,49.6368333333333,67.2836333333333,0.246566666666667,0.217333333333333,6.36666666666667,1.14903333333333,43,7.7607,0,0,0,0,0,0,0,0,0,0,0,0,41.265,2,1,41.4066666666667,0,1,0,1,0,-36.5952,1.03333333333333,-12.9524,1,2,0,2,1.26666666666667,3.03333333333333,99.94815
"FIN",202012,31387.9677419355,361.129032258065,374.493193548387,475.322580645161,5.2258064516129,4.82490322580645,5664.96390322581,65.1772903225806,67.5892580645161,85.7872258064516,0.943064516129032,0.870838709677419,17.258064516129,3.11467741935484,145.838709677419,26.3212903225806,0,0,0,0,0,0,0,0,0.000967741935483871,0,0,0,51.4745161290323,2,1,48.2032258064516,0.161290322580645,1,0,1.93548387096774,0.806451612903226,-45.5944193548387,2,-25.5668709677419,1,2,0,2,2,4,100.2054
"FIN",202101,40329.3548387097,294.548387096774,281.520741935484,615.967741935484,3.54838709677419,3.9721935483871,7278.72361290323,53.1607419354839,50.8094193548387,111.171,0.640354838709677,0.716903225806452,16,2.88770967741935,94.741935483871,17.0992258064516,0,0,0,0,23985.6129032258,2045.29032258065,3938.25806451613,4461.67741935484,0.76258064516129,0.432903225806452,0.0370967741935484,805.290322580645,52.31,2,1,51.1854838709677,1.87096774193548,1,0,2,1,-46.4515806451613,2,-27.2396129032258,1,2,0,2,2,4,100.4721
"FIN",202102,50915.1071428571,444.071428571429,421.153,712.892857142857,2.53571428571429,2.6685,9189.26157142857,80.1469285714286,76.0106071428571,128.664392857143,0.4575,0.481642857142857,17.25,3.11328571428571,102.285714285714,18.4607857142857,0,0,0,0,198864.357142857,52297.5714285714,9283.46428571429,9487.03571428571,4.5325,3.58857142857143,0.944642857142857,1712.17857142857,53.5014285714286,2,1,52.1328571428571,2,1,0,2,1,-43.6020714285714,2,-18.4183928571429,1,2,0,2,2,4,100.7412
"FIN",202103,68037.6129032258,638.064516129032,648.212,793.451612903226,3.29032258064516,2.70958064516129,12279.5660322581,115.159064516129,116.990580645161,143.203806451613,0.593741935483871,0.489,35.9032258064516,6.47993548387097,203.322580645161,36.6960322580645,0,0,0,0,576024.096774194,78051.1612903226,16012.6774193548,16835.4193548387,11.8048387096774,10.3967741935484,1.40870967741935,3038.45161290323,52.31,2,1,53.3454838709677,3,1,0,2,1,-47.9446774193548,2,-24.5345806451613,1.61290322580645,2,0,2,2,4,101.0221
"FIN",202104,83038.3,311.866666666667,343.1857,881.533333333333,2.33333333333333,2.85716666666667,14986.9205666667,56.2863333333333,61.9388,159.100966666667,0.421066666666667,0.515766666666667,24.8,4.4759,115.833333333333,20.9059,0,0,0,0,972133.533333333,90634.5,17965.6666666667,26846.9333333333,19.1816666666667,17.5453333333333,1.636,4845.4,52.31,2,1,53.69,3,1,0,2,1,-45.0237666666667,2,-22.0428666666667,2,2,0,2,2,4,101.3155
"FRA",202002,16.0689655172414,3.27586206896552,1.09855172413793,0.655172413793103,0.0689655172413793,0.0542413793103448,0.235620689655172,0.0480689655172414,0.0159310344827586,0.00968965517241379,0.00103448275862069,0.000758620689655172,0.724137931034483,0.0107241379310345,8.41379310344828,0.123379310344828,0,0,0,0,0,0,0,0,0,0,0,0,7.71448275862069,2,1,14.1844827586207,0,0,0,0,0,1.28684615384615,0,-10.0926153846154,1,0,0,1.17241379310345,0.0689655172413793,0.137931034482759,99.55466
"FRA",202003,13159.2903225806,1683.16129032258,1208.73732258065,687.870967741935,113.677419354839,75.9862258064516,193.099580645161,24.6987419354839,17.7370322580645,10.0937741935484,1.66809677419355,1.115,1345.8064516129,19.7483225806452,5458.61290322581,80.0997741935484,188.188258064516,2.76148387096774,844.218516129032,12.388064516129,0,0,0,0,0,0,0,0,65.7387096774194,1.51612903225806,1,55.1764516129032,0,1.03225806451613,0.516129032258065,2.90322580645161,0.967741935483871,-35.1243225806452,1.45161290322581,-29.446935483871,1,1.03225806451613,1.06451612903226,2,2,4,95.17373
